t	N_medio
0	0.5335
100000	1
200000	0.288
300000	0.1975
400000	0.142
500000	0.099
600000	0.077
700000	0.0605
800000	0.053
900000	0.0455
1e+06	0.0405
1.1e+06	0.031
1.2e+06	0.027
1.3e+06	0.021
1.4e+06	0.0195
1.5e+06	0.018
1.6e+06	0.0165
1.7e+06	0.015
1.8e+06	0.0125
1.9e+06	0.01
2e+06	0.0085
2.1e+06	0.008
2.2e+06	0.008
2.3e+06	0.0075
2.4e+06	0.006
2.5e+06	0.006
2.6e+06	0.0045
2.7e+06	0.0045
2.8e+06	0.0045
2.9e+06	0.0045
3e+06	0.0045
3.1e+06	0.0045
3.2e+06	0.0045
3.3e+06	0.0045
3.4e+06	0.004
3.5e+06	0.0035
3.6e+06	0.003
3.7e+06	0.003
3.8e+06	0.003
3.9e+06	0.0025
4e+06	0.0025
4.1e+06	0.0025
4.2e+06	0.0025
4.3e+06	0.0025
4.4e+06	0.0025
4.5e+06	0.0025
4.6e+06	0.0025
4.7e+06	0.0025
4.8e+06	0.0025
4.9e+06	0.002
5e+06	0.0015
5.1e+06	0.0015
5.2e+06	0.0015
5.3e+06	0.0015
5.4e+06	0.001
5.5e+06	0.001
5.6e+06	0.001
5.7e+06	0.001
5.8e+06	0.001
5.9e+06	0.001
6e+06	0.001
6.1e+06	0.001
6.2e+06	0.001
6.3e+06	0.001
6.4e+06	0.001
6.5e+06	0.0015
6.6e+06	0.0015
6.7e+06	0.0015
6.8e+06	0.0015
6.9e+06	0.0015
7e+06	0.001
7.1e+06	0.0015
7.2e+06	0.0015
7.3e+06	0.0015
7.4e+06	0.0015
7.5e+06	0.0015
7.6e+06	0.0015
7.7e+06	0.0015
7.8e+06	0.0015
7.9e+06	0.0015
8e+06	0.0015
8.1e+06	0.0015
8.2e+06	0.0015
8.3e+06	0.0015
8.4e+06	0.0015
8.5e+06	0.001
8.6e+06	0.0015
8.7e+06	0.0015
8.8e+06	0.001
8.9e+06	0.001
9e+06	0.001
9.1e+06	0.001
9.2e+06	0.001
9.3e+06	0.0005
9.4e+06	0.0005
9.5e+06	0.0005
9.6e+06	0.0005
9.7e+06	0.0005
9.8e+06	0.0005
9.9e+06	0.0005
