t	N_medio
0	53.35
100000	100
200000	28.8
300000	19.75
400000	14.2
500000	9.9
600000	7.7
700000	6.05
800000	5.3
900000	4.55
1e+06	4.05
1.1e+06	3.1
1.2e+06	2.7
1.3e+06	2.1
1.4e+06	1.95
1.5e+06	1.8
1.6e+06	1.65
1.7e+06	1.5
1.8e+06	1.25
1.9e+06	1
2e+06	0.85
2.1e+06	0.8
2.2e+06	0.8
2.3e+06	0.75
2.4e+06	0.6
2.5e+06	0.6
2.6e+06	0.45
2.7e+06	0.45
2.8e+06	0.45
2.9e+06	0.45
3e+06	0.45
3.1e+06	0.45
3.2e+06	0.45
3.3e+06	0.45
3.4e+06	0.4
3.5e+06	0.35
3.6e+06	0.3
3.7e+06	0.3
3.8e+06	0.3
3.9e+06	0.25
4e+06	0.25
4.1e+06	0.25
4.2e+06	0.25
4.3e+06	0.25
4.4e+06	0.25
4.5e+06	0.25
4.6e+06	0.25
4.7e+06	0.25
4.8e+06	0.25
4.9e+06	0.2
5e+06	0.15
5.1e+06	0.15
5.2e+06	0.15
5.3e+06	0.15
5.4e+06	0.1
5.5e+06	0.1
5.6e+06	0.1
5.7e+06	0.1
5.8e+06	0.1
5.9e+06	0.1
6e+06	0.1
6.1e+06	0.1
6.2e+06	0.1
6.3e+06	0.1
6.4e+06	0.1
6.5e+06	0.15
6.6e+06	0.15
6.7e+06	0.15
6.8e+06	0.15
6.9e+06	0.15
7e+06	0.1
7.1e+06	0.15
7.2e+06	0.15
7.3e+06	0.15
7.4e+06	0.15
7.5e+06	0.15
7.6e+06	0.15
7.7e+06	0.15
7.8e+06	0.15
7.9e+06	0.15
8e+06	0.15
8.1e+06	0.15
8.2e+06	0.15
8.3e+06	0.15
8.4e+06	0.15
8.5e+06	0.1
8.6e+06	0.15
8.7e+06	0.15
8.8e+06	0.1
8.9e+06	0.1
9e+06	0.1
9.1e+06	0.1
9.2e+06	0.1
9.3e+06	0.05
9.4e+06	0.05
9.5e+06	0.05
9.6e+06	0.05
9.7e+06	0.05
9.8e+06	0.05
9.9e+06	0.05
